Categories,Source,Text,probabilities
random order bigrams,ilexir,"Dear Pete , about your flat time in New have a fantastic do n't worry I hope you York and please . to be under Everything is going control ! points clear before you leave London But I want to make some . First of all to be busy on the 4th I 'm going , I think of April . April , at the date into the 5th of Can we change 4 o'clock ? during the stay Thanks very much for letting me use your things . to use particularly the CD player I may need the computer and . Is that OK for you ? By the way will be back can prepare something tell me around , if you , maybe I what time you on the 20th for dinner . 're going to be too tired 11 hours of I know you to cook after flight . Last of all bringing me a your consideration about , thanks for present . Anything as a quite enough for souveniere would be me . I 'll leave it to you . taste in presents have a good I know you ! ! Have a great time in the States . Love , To whom it may concern , pleased to tell "" magazine , your advertisement in you why I I would be "" The Traveller for this trip With regards to want to apply . The first thing ... eight people from different countries advert was "" attention in the that caught my ... "" . with people from I am very interested in meeting and spending time other cultures . calm in the I am quite known as an I can remain easy-going person and I am generally emergency situations and reliable too . makes the idea I think this comfortable conditions but trip has not Obviously a sailing got the most more exciting . facing difficulties will mature in the me to think having friends from all over the world will help "" worldwide "" make me more I believe that real life and . to do this enough to explain I hope this letter will be why I want trip . Yours sincerely .","[0.48403701186180115, 0.5159629583358765]"
random order bigrams,ilexir,"Dear Pete , Many thanks for your thinking which arrived must when I was letter of you . I hope you and your family are feeling well . I look that I agreed to remember after your holiday while you are on York New in flat . The only graduation is that on 4th April I have my problem . As you know I 'm in Ferndown now studying last minutes spending for exams . I would ask to like you if my arrival on 4 o'clock at the 5th April is suitable for you . If not , pleas know me let . I 'm sure we will find another solution . It 's very kind of you to use me let things in your flat . I 'm over the moon ! take I also "" Can computer "" of your player and CD bicycle and care ? let you also know me come when you are going to Can back on the 20th . Will it be or dinner time maybe ? If yes , great ! I will be able to see you . you become that buying you it 's a American flat for me , You really do n't have to know culture broke because of helping things for me but I am interested in real pleasure . So nice "" Liberty of Statue "" will be tiny . I will finish now as I have work of mountain to do . I am hearing forward from looking to you . eat junk Yours , "" food carrot instead of a man "" Young Care , are you aware of what you drink and Take ? Are you healthy that your diet is sure enough to grow you help up ? In today 's fast eating cooking healthy people spend less or less time food and moving young world . When they are at home , always parents , children prepare dinner of them or especially take some fresh meat with salad and a good supper for care . never , minerals who usually have time for full fibre healthy of vitamins , hamburgers or diet However finish on "" Bic "" , students or Macs McDonalds . often , very Moreover offer food does n't school diversified bread like different salads of canteen or kinds . regularly we do n't eat Usually and in good proportions . Our grandparents always remembered the quality and food of value . They found even to eat something sensible for meal - the main dinner and time if the times were worse , people were more hot . well their head people , especially the aware , should eat more young of what and when they work as In as they should keep on their lifestyles and become my opinion .","[0.48369529843330383, 0.5163047909736633]"
random order bigrams,ilexir,"fantastic New , I please you have a Dear time about York Pete and worry do n't hope in your flat . Everything is going to be under control ! But I make to leave some points clear before you want London . 4th of all , I think I 'm going to be busy on the First of April . Can we change the date at the 5th of April , into 4 o'clock ? Thanks very much for letting me use your things during the stay . I may use to need particularly the CD and the player computer . Is that OK for you ? on the dinner , if you time me back what prepare you can be around By the 20th , maybe I will tell something for way . I cook you 're going to be too tired to know after 11 hours of flight . Last of all , thanks for your present about bringing me a consideration . Anything as a souveniere would be quite enough for me . I 'll leave it to you . I know you have a good taste in presents ! ! Have a great time in the States . concern , to whom it would tell , With regards in your Traveller To "" The magazine "" trip , I may be pleased to want you why I apply to Love for this advertisement . the first attention that caught my advert from The thing was "" ... eight people in different countries ... "" . I am very interested from spending and meeting time with people in other cultures . I am generally known as an calm emergency and I can remain reliable in the person situations and I am too easy-going quite . Obviously a trip idea has not got the most comfortable conditions but I think this makes the sailing more exciting . I make that facing friends will help me more real from the worldwide world and having difficulties over all in the life will think me to believe "" mature "" . I explain this trip will be enough to want why I hope to do this letter . Yours sincerely","[0.4840003550052643, 0.5159996151924133]"
random order bigrams,ilexir,"Can I also "" take care "" of your computer and CD player and bicycle ? However , students who never have time for healthy diet full of minerals , vitamins or fibre usually finish on "" McDonalds "" , hamburgers or Bic Macs . I would like to ask you if my arrival at 4 o'clock on the 5th April is suitable for you . Take Care I will finish now as I have mountain of work to do . So tiny "" Statue of Liberty "" will be nice . I 'm sure we will find another solution . I 'm over the moon ! They found time to eat something hot for dinner - the main meal and even if the times were worse , people were more sensible . The only problem is that on 4th April I have my graduation . Many thanks for your letter which arrived must when I was thinking of you . I will be able to see you . When they are at home , especially children , parents take care of them and always prepare some good dinner with meat or a fresh salad for supper . Yours , Usually we do n't eat regularly and in good proportions . "" junk food instead of a carrot "" In my opinion people , especially the young , should become more aware of what and when they eat as well as they should work on their lifestyles and keep their head . I am looking forward to hearing from you . Will it be or dinner time maybe ? Can you also let me know when you are going to come back on the 20th . Are you sure that your diet is healthy enough to help you grow up ? Young man , are you aware of what you eat and drink ? I remember that I agreed to look after your flat while you are in New York on holiday . As you know I 'm in Ferndown now spending last minutes studying for exams . If yes , great ! I hope you and your family are feeling well . Our grandparents always remembered the value and quality of food . You know that helping you it 's a real pleasure for me , you really do n't have to become flat broke because of buying things for me but I am interested in American culture . Dear Pete , It 's very kind of you to let me use things in your flat . If not , pleas let me know . In today 's fast moving world young people spend less and less time cooking or eating healthy food . Moreover , very often school canteen does n't offer diversified food like different kinds of bread or salads .","[0.4833373725414276, 0.51666259765625]"
random order bigrams,ilexir,"I hope this letter will be enough to explain why I want to do this trip . First of all , I think I 'm going to be busy on the 4th of April . Can we change the date into the 5th of April , at 4 o'clock ? I 'll leave it to you . By the way , if you tell me around what time you will be back on the 20th , maybe I can prepare something for dinner . Last of all , thanks for your consideration about bringing me a present . I am very interested in meeting and spending time with people from other cultures . I may need to use particularly the computer and the CD player . Dear Pete , Thanks very much for letting me use your things during the stay . I know you have a good taste in presents ! ! I know you 're going to be too tired to cook after 11 hours of flight . Obviously a sailing trip has not got the most comfortable conditions but I think this makes the idea more exciting . With regards to your advertisement in "" The Traveller "" magazine , I would be pleased to tell you why I want to apply for this trip . Yours sincerely I am generally known as an easy-going person and I can remain calm in the emergency situations and I am quite reliable too . I hope you have a fantastic time in New York and please do n't worry about your flat . To whom it may concern , Have a great time in the States . Everything is going to be under control ! Anything as a souveniere would be quite enough for me . Is that OK for you ? Love , I believe that facing difficulties will make me more mature in the real life and having friends from all over the world will help me to think "" worldwide "" . The first thing that caught my attention in the advert was "" ... eight people from different countries ... "" . But I want to make some points clear before you leave London .","[0.48335036635398865, 0.5166496634483337]"
random order sentences,ilexir,"Dear Mary , hear 'm to from you I really happy ! almost work ) and I recently that is a good so so at and much school to ( forgotten rest it exams do to 've things relax many had , I bit 've how . all the interesting especially - trips people love great we , ones class Fortunately are really my from and . 're and lots problems well in letter we about asking really of was boat fun absolutely organized had fantastic were trip no , there you your The and ! facts are Here some you for : . 10 to up earlier , 's off getting , departures set crowded every day a.m. the ) at are better less but then ... it am 8 you much hate and know as The ( early is but I boat . Castle hours where a tours they , guided the two of beautiful cruise there the is offer Bourne at stop After . tour lots is the you of interesting about learn history of castle I such the think , because things can essential a . there is After beautiful , the 's at so - visiting 'd better it take there lunch but picnic restaurant you a castle ! the variety a from choose can afternoon of water sports the at lake In you . have fun , you 'll of Try windsurfing lots ! your - telling it you like was and 'm will I I wonderful 'm trip sure group the . discount have prices people and of 15 are get a you , you group that reasonable a the Especially if . and fun Try have it ! I forward hearing , care you from to looking take 'm , It in the when rang phone morning o'clock the three was . was nobody but up answer when I , phone , rushed to I picked the it there there . - stairs "" again teenagers bedroom to climbing "" angrily the Stupid , my thought I . behind heard I some sound , me strange Suddenly . I , disappeared turned quickly there was around but nothing sound the - . , was that feeling afraid wrong scared I I something ... but was this , impression had that of ghosts not a began bit I . listened and I stopped . Nothing . A silence complete . I the I footsteps sound the minute of After same again heard the stairs sound a walking was and started up it - ! my , but again move could that frightened turned I so was I head I barely . was nobody There . But door changed wide - was the open something kitchen . dressed me a saw , I of towards , in a man figure Suddenly moving black . n't to could , ran own so believe and eyes my closed them I I quickly 's my room sister . There - "" I downstairs "" is ghost "" a shouted - Jane ! black dressed suit in , man A a "" . little "" my It 's - "" peacefully I , replied Grandpa sister know - "" . today his Do know n't birthday you 's it "" . do you I remember our , dead "" but grandpa - n't Yes , is "" cried . 's That "" right . a n't as she mind my at - lost me said "" and you looked have I had just But 've if asked you GHOST see .","[0.48187750577926636, 0.5181225538253784]"
random order sentences,ilexir,"John Dear ! very was letter happy receive your to I . are have n't , from heard long you how I for time you a ? is your Marine sister , How ? and acknowledgeable month went on trip class it was boat very a with last my and I exciting . also sunny , all with the long was the We day picturesque it were lucky very could weather admire and we warm so views . definetly can in and help what I I try I think 'll to go you should . a.m. 8 to all First boat recommend you the I of on go . on less will early comfortable It it crowded might more be up the trip but waking mean and . unique to Castle tour opinion is questions historical works you a need galleries Bourne of because with thoroughly guided will the answer explain guide a a art In , everything my all essential and of full place and is . portions too small is you you and should too ( walking expensive packed think you , tired restaurant with the because the castle are take the get I lunch ) 'll around far very . a watersports I well as , advise to real 's laugh try it you . people friends you reductions give so have groups but sure I 'll class in many they invite over some your not 15 for maybe to to join 'm students there you are how . with By I possible to the , love 'd come it you 's if way , ! 'm trip enjoyed you to and really again I our see eager I ! to Looking reply your forward , Love . that powerful press , control force the remote on "" glued to button "" endless us itself for Off - a TV every the to keeps day hours unable . , 's their say our form , minds Some knowledge and useful and , say evil 's eyes individuality with it personality enriches it helps it teens others our spoils . people can But each answer one of question these one simple ! Could a without week television for "" you live "" . I say can honestly could : I . watch n't become yet TV but a have I I TV addict luckily I like it , . maybe Well only yet , . set on When TV do turn we our ? dislike contrary bored When and we or something are we tired we on are doing lonely when the of . 'd for good week busy without some if So keep find to , interesting bowling friends to something lived me a pool or : swimming read a go else book , I a around television I invite . This weeks , existed three it vacuum forgot complete in I summer ever I had TV a lived . my did life time enter it have allow to n't it , just n't for I did . , it torture no And n't a self-made was . need keep n't and was evenings good time did in me support company a to having me dark summer and television just I the I . normal "" me might about You What question a ask news "" . about me about 'm Well going newspapers bothered also you but forget what , I why around 's did on ? too the radio you news 're to to prefer read be yourself lazy to you the if read and them ( And ) . the living made was The absence biggest of I TV difference my life had actually in that started . than I say into cave ' humans no "" hands their stronger the far think can invisible is lure that will to TV "" everyone because us more . week lot a after to And good and 'll be for you it 'll , TV as you a more well it without your begin appritiate life .","[0.48275238275527954, 0.5172476172447205]"
random order sentences,ilexir,"Dear Mary , to hear I 'm from you really happy ! is to so many relax and ) and that I at school things to had so exams ! do , 've almost rest a I 've recently ( much work forgotten how good it bit . the people really great all love and we trips - from my Fortunately , especially interesting class are ones . was really and we were absolutely 're asking trip you , there well organized your letter had lots of fun fantastic and about in The boat no problems ! Here are for you some facts : . 8 am ( I up early The departures crowded then are at set off hate getting a.m. every day , ... ) but it and 10 better to know you is less 's much , but earlier as the boat . stop at Bourne Castle is a offer guided hours of where they the beautiful , there the cruise After two tours . the castle about the interesting things such a I think essential , tour is can learn because you lots of history of . so beautiful a restaurant you 'd After visiting lunch at it 's there is picnic - , but the castle better take there ! water sports variety of In the at the afternoon you can choose from a lake . Try windsurfing 'll have , you lots of fun ! I 'm like it I 'm wonderful and trip was sure your group will - the telling you . you have a discount are reasonable a group the prices people , Especially that of 15 and if you get . Try it and have fun ! looking forward from you I 'm to hearing , take care , three o'clock the phone in the morning when It was rang . up the I rushed but when nobody there to answer it , I picked phone , there was . stairs to teenagers again "" Stupid climbing the my bedroom "" - I thought angrily , . some strange sound behind I heard Suddenly , me . , but the sound nothing - there was around quickly I turned disappeared . something was impression that that I feeling a was afraid I began ... I had this , not of ghosts bit scared , but wrong . I stopped and listened . Nothing . A complete silence . stairs again sound of up the minute I heard the After a started walking same sound and I - it was the footsteps ! head again but I turned my could barely move , so frightened I was that I . There was nobody . the kitchen wide open changed - But something door was . , moving a man figure of , dressed Suddenly I in black towards me saw a . my sister n't believe 's room quickly and eyes , closed them so I I could ran to my own . a ghost "" Jane - "" "" - There is I shouted downstairs ! , dressed in a black suit A man ! "" . "" It , - sister peacefully 's Grandpa - replied know "" my little "" I . today ? you know it 's Do n't his birthday "" . I cried our grandpa , but n't you "" Yes is dead remember ? , do "" - . 's right "" That . "" - I had at me you 've lost my as if she asked n't you just said see a GHOST ? and looked But have mind .","[0.4817357659339905, 0.5182642340660095]"
random order sentences,ilexir,"Dear John ! to receive your letter I was very happy . long time I have from you for a are you n't heard , how ? How is , Marine your sister ? I went boat trip month and and acknowledgeable with my very exciting class last it was on a . views all day long We were also very , it the picturesque the weather was warm so we and sunny could admire lucky with . definetly go you should I can to help in what and I 'll try I think . to go on the First of 8 a.m. all I recommend you boat . less crowded mean waking up early and more comfortable on the trip It might but it will be . , because unique works of art to explain and you is a is essential full of a guide all the and answer will need In my historical place with galleries Bourne Castle opinion a guided tour everything thoroughly questions . take packed you should because the tired walking you , castle ) get very around the the portions I think are too small ( restaurant is lunch with far too expensive and you 'll . 's a as well you to , it I advise try watersports real laugh . there in give reductions not sure students are some friends your class how many I 'm maybe you over 15 but they people so for groups to invite to join 'll have you . I 'd if it come with By the way , love to you , 's possible ! eager to I really I 'm trip and enjoyed our see you again ! Looking forward to your reply , Love . a powerful force that TV - endless hours button on itself for every day , unable to press keeps us the "" glued to Off "" the remote control . say it , others it spoils our minds with knowledge evil , their individuality our eyes and personality Some say , enriches it 's and helps 's useful teens form . each one of these But can people answer one simple question ! without television for a week ? you live "" Could "" . I can : I honestly say could . become a TV , have n't TV addict I watch I like luckily I it but yet . Well , maybe only yet . on our TV set we turn When do ? the contrary when we are bored and lonely something we or on When we are tired of doing dislike . a swimming or to something else 'd find read a without television for a I lived me busy to keep around , go bowling week I : invite good interesting book , some friends So if pool . in a vacuum , This summer complete TV I lived I forgot it had ever existed three weeks . I just for it , did enter my it to n't allow did n't have time life . a self-made was n't And no , it torture . a good I was n't need television to time and support me dark summer me company and keep just having in the I did evenings . news ? What about a normal You might ask me question "" "" . also bothered you forget about newspapers on around I 'm about what me but why did Well , 's going ? and prefer them to lazy to to you radio ( And the be read read the 're too news yourself if you ! ) . absence of The biggest TV had started living my life difference the was that I actually made in . everyone can is far I think us into because humans their cave more stronger ' will say "" to TV invisible hands no "" than the that lure . it and after a 'll be good for a lot your life well , 'll begin TV you you as And it week without to appritiate more .","[0.4827529788017273, 0.5172470211982727]"
random order sentences,ilexir,"Dear Mary , I 'm really happy to hear from you ! ) and so at school recently I 've had many things to do , that it is to relax and rest so much work forgotten how good ( exams ! I 've almost a bit . Fortunately , the - especially interesting people from my all love trips class are really great and we ones . The boat trip fantastic and well about in your letter was really you 're asking had lots of problems and we organized , there were absolutely no fun ! facts for you Here are some : . much better to and 10 a.m. getting up early but it 's The departures are as the boat know you hate then ( I at 8 am , but ... every day , set off earlier is less crowded ) . of the cruise offer guided tours After two hours , there is Castle where they a stop at the beautiful Bourne . lots of interesting essential , because things about the a tour is I think such you can learn history of the castle . take picnic - you 'd better lunch at a it 's so After visiting the restaurant , but castle there is beautiful there ! In the afternoon of water sports at the lake from a variety you can choose . you 'll have Try windsurfing , lots of fun ! sure your group and I 'm trip was wonderful I 'm telling you - the will like it . prices are reasonable have a group Especially that the and if you , you get of 15 people a discount . Try it and have fun ! I 'm looking from you , forward to hearing take care , morning when the It was three o'clock in the phone rang . phone , there was nobody there I rushed to but when I answer it , picked up the . stairs to my "" Stupid teenagers again "" - I thought angrily , climbing the bedroom . heard some strange sound behind me Suddenly , I . there was nothing I turned around - the sound quickly , but disappeared . I was afraid but ... I , not that had this impression a bit scared of ghosts , I began feeling that something was wrong . I stopped and listened . Nothing . A complete silence . I started walking After a minute up the stairs sound - it again and I was the sound heard the same of footsteps ! turned my head , but I I was so could barely move frightened that I again . There was nobody . - the kitchen door was wide But something changed open . a man , dressed in black a figure of Suddenly I saw , moving towards me . to my sister I closed them I could n't eyes , so believe my own quickly and ran 's room . - I shouted is a ghost - "" There "" Jane "" downstairs ! black suit ! A man , dressed in a "" . "" I know "" It 's peacefully , - "" - replied my little sister Grandpa . know it 's his birthday today Do n't you ? "" . but our grandpa - I cried is dead , "" Yes , do n't you remember ? "" . "" That 's right . you just said But have n't "" - she lost my mind you 've see at me as if I had asked and looked a GHOST ? .","[0.481737345457077, 0.5182626843452454]"
random order sentences,ilexir,"Dear John ! happy to receive I was very your letter . for a long heard from you time , how I have n't are you ? sister , Marine How is your ? exciting and acknowledgeable a boat trip with my class last month and it was very I went on . it was warm we could admire and sunny so all day long the picturesque views very lucky with We were also the weather , . I think you try to help and I 'll should definetly go in what I can . to go on First of all the 8 a.m. I recommend you boat . be less crowded waking up early on the trip and more comfortable It might mean but it will . need a guide is essential , place with galleries to explain everything full of unique and you will is a historical In my opinion all the questions because Bourne Castle a guided tour thoroughly and answer works of art . restaurant is far should take packed too small ( too expensive and very tired walking the portions are you 'll get , because the lunch with you around the castle I think you ) . to try watersports as well , it 's a I advise you real laugh . in your class invite some friends but they give 'll have to students are there to join you I 'm not over 15 people so maybe you reductions for groups sure how many . if it 's By the way with you , , I 'd love to come possible ! to see you I 'm eager I really enjoyed our trip and again ! Looking forward to your reply , Love . day , unable TV - a button on the "" Off "" to itself for to press the powerful force that keeps us glued endless hours every remote control . and helps teens minds with knowledge , enriches our eyes and personality 's evil , , others say form their individuality it spoils our Some say it it 's useful . people answer one But can each one of these simple question ! for a week live without television "" Could you ? "" . say : I I can honestly could . it but luckily become a TV , I watch I like TV I have n't addict yet . Well , maybe only yet . When do we turn on our TV set ? bored and lonely When we are contrary when we doing something we or on the are tired of dislike . something else to to a swimming for a week lived without television read a good : invite some go bowling or friends around , So if I keep me busy I 'd find interesting book , pool . TV vacuum , I forgot it had ever existed in a complete lived three weeks This summer I . I just did did n't allow n't have time for it , it to enter my life . And no , it was n't a self-made torture . me company in me and keep having a good I was just the dark summer time and I television to support did n't need evenings . question "" What You might ask about news ? me a normal "" . did you forget 'm also bothered Well , I me but why about what 's going on around about newspapers ? be read to prefer them to And the radio news yourself and to read the ( if you 're too lazy you ! ) . TV had made actually started living in my life The biggest difference the absence of was that I . I think everyone can say "" no "" to TV because humans ' will is than the invisible us into their far more stronger hands that lure cave . you 'll begin And it 'll week without TV a lot more , after a to appritiate it be good for and your life you as well .","[0.48282894492149353, 0.5171710252761841]"
random order sentences,ilexir,"happy Mary , I 'm really Dear to hear from you ! I 've had so much bit at school almost ( things ! ) and so many exams to do , that I 've recently forgotten how good it is to rest and relax a work . really , the people from my class are all great and we especially love trips - Fortunately interesting ones . no letter trip you 're asking well in your fun was absolutely fantastic and about organized , there were really The lots and we had problems of boat ! Here are some departures for you : the facts are at 10 a.m. and 8 am every boat , but it is much earlier to know up better as The day 's less crowded then ( I hate you set getting off early , but ... ) . After two tours of the stop , there is a cruise at the beautiful Bourne Castle where they offer guided hours . I learn such a history is essential , because you can think things of interesting lots about the tour of the castle . After visiting the castle there 's lunch at a picnic , but you 'd better take restaurant - it is so beautiful there ! from the variety you can choose at a water of lake sports In the afternoon . Try fun , you 'll have lots of windsurfing ! I 'm telling you - the group was wonderful and I 'm sure your trip will like it . Especially that the prices are reasonable and if you have a discount of 15 people , you get a group . Try it and have fun ! I 'm hearing forward from looking in you , take phone , It was three o'clock to the morning when the care rang . I picked to answer it , but when I thought up the bedroom , there was nobody there . "" Stupid stairs angrily "" - I rushed again , climbing the teenagers to my phone . Suddenly , I heard some strange sound behind me . I disappeared around quickly , but there was nothing - the sound turned . I began feeling a bit scared , not that I was afraid of ghosts , but ... I had this impression that something was wrong . I listened and stopped . Nothing . A complete silence . After a minute I heard walking up the footsteps again and I started the same sound - it was the sound of stairs ! I was so turned that I could again move , but I frightened my head barely . There was nobody . But something changed - the door open was wide kitchen . Suddenly I saw a man of a black , dressed towards figure , moving in me . I could n't believe my own eyes , so "" - them quickly and ran to my room 's There . "" Jane I closed I shouted - "" sister is a ghost downstairs ! a suit , dressed in A black sister ! "" "" I know "" - replied my little man peacefully , - "" It 's Grandpa . do n't you remember it is our right today ? "" "" Yes , but his grandpa 's dead , Do n't you know ? "" - I cried . "" That 's birthday . But 've n't you just she you have see a my ? "" - and asked said looked at me as if I had lost GHOST mind .","[0.4818629324436188, 0.5181369781494141]"
random order sentences,ilexir,"Dear John ! I was very happy to receive your letter . I have n't heard from you for a long time , how are you ? How is your sister , Marine ? I went on a trip class with my boat last month and it was very exciting and acknowledgeable . we were also very warm with the weather , it was sunny and picturesque so We could long the lucky views all day admire . I go you 'll definetly try and I should help to can in what I think . First of all I go you to recommend on the 8 a.m. boat . it will mean waking up comfortable but It might be more crowded and less early on the trip . In my tour a guided place is historical , because Castle Bourne is a full art with questions unique of essential works of guide and you will explain a opinion to answer everything thoroughly and need all the galleries . I take you 'll think tired lunch with you , because the restaurant is too too small and the portions are very expensive ( you should get far packed walking around the castle ) . I try you to advise watersports as laugh , it 's a real well . I 'm not maybe how many reductions are there over your class but they invite groups for friends in 15 people so sure you 'll have to join some students to give you . By the way , I 'd come to love with you , if it 's possible ! I again enjoyed our trip and I 'm eager to see you really ! Looking forward to your TV , press force - every endless control that keeps us glued Off itself for remote hours a day , unable to button the "" on "" Love to the powerful reply . Some say it 's useful , it enriches our others and knowledge , minds form it 's evil , helps their teens with individuality and spoils eyes say our personality . But answer each one of these people live one simple television ! "" can you say without question for a week ? "" I could honestly can : I Could . I like TV , I become it but yet I have n't watch a addict TV luckily . Well , only yet maybe . When do we turn on our TV set ? when we are tired or lonely and on the contrary When we are bored of doing something we dislike . if So I lived without book for a week I 'd keep something else to busy me invite : read some friends around , go a good bowling swimming , find interesting or to a pool television . This summer I forgot three weeks in a complete vacuum TV , I existed it had ever lived . I just did n't have time for it , did n't enter it to allow my life . And no , it was n't a self-made torture . I was just having a dark summer and I did n't support company to keep me and need me television in the good time evenings . you might forget me a normal news "" what about question ? "" Well , I 'm also bothered around What 's going on about me but why did You ask about newspapers ? and the news ( if you 're too lazy to prefer The difference yourself And read them to be made in you ! ) the biggest absence the TV of life had read to my living was that I actually started radio . I say everyone can lure "" no "" into will because hands ' TV is far more stronger than the invisible humans that think us to their cave . and it 'll be good for you as TV , after a week without life you 'll appritiate to begin it And your well a lot more .","[0.4826422333717346, 0.5173577070236206]"
random order sentences,ilexir,"In the afternoon you can choose from a variety of water sports at the lake . Try it and have fun ! After visiting the castle there is lunch at a restaurant , but you 'd better take picnic - it 's so beautiful there ! Suddenly , I heard some strange sound behind me . Try windsurfing , you 'll have lots of fun ! It was three o'clock in the morning when the phone rang . Fortunately , the people from my class are really great and we all love trips - especially interesting ones . I rushed to answer it , but when I picked up the phone , there was nobody there . "" Yes , but our grandpa is dead , do n't you remember ? "" - I cried . But something changed - the kitchen door was wide open . A man , dressed in a black suit ! "" The boat trip you 're asking about in your letter was really fantastic and well organized , there were absolutely no problems and we had lots of fun ! Dear Mary , I 'm really happy to hear from you ! There was nobody . Suddenly I saw a figure of a man , dressed in black , moving towards me . Especially that the prices are reasonable and if you have a group of 15 people , you get a discount . Do n't you know it 's his birthday today ? "" A complete silence . "" Stupid teenagers again "" - I thought angrily , climbing the stairs to my bedroom . I was so frightened that I could barely move , but I turned my head again . I 'm telling you - the trip was wonderful and I 'm sure your group will like it . After two hours of the cruise , there is a stop at the beautiful Bourne Castle where they offer guided tours . I began feeling a bit scared , not that I was afraid of ghosts , but ... I had this impression that something was wrong . Nothing . I 'm looking forward to hearing from you , take care , Here are some facts for you : But have n't you just said you 've see a GHOST ? "" - she asked and looked at me as if I had lost my mind . I could n't believe my own eyes , so I closed them quickly and ran to my sister 's room . "" I know "" - replied my little sister peacefully , - "" It 's Grandpa . "" Jane "" - I shouted - "" There is a ghost downstairs ! I 've had so much work at school recently ( exams ! ) and so many things to do , that I 've almost forgotten how good it is to relax and rest a bit . After a minute I started walking up the stairs again and I heard the same sound - it was the sound of footsteps ! I think such a tour is essential , because you can learn lots of interesting things about the history of the castle . I turned around quickly , but there was nothing - the sound disappeared . The departures are at 8 am and 10 a.m. every day , but it 's much better to set off earlier as the boat is less crowded then ( I know you hate getting up early , but ... ) . I stopped and listened . "" That 's right .","[0.4814000427722931, 0.5185999870300293]"
random order sentences,ilexir,"Dear John ! TV - a powerful force that keeps us glued to itself for endless hours every day , unable to press the "" Off "" button on the remote control . Looking forward to your reply , In my opinion a guided tour is essential , because Bourne Castle is a historical place with galleries full of unique works of art and you will need a guide to explain everything thoroughly and answer all the questions . I like TV , I watch it but luckily I have n't become a TV addict yet . I think you should definetly go and I 'll try to help in what I can . I really enjoyed our trip and I 'm eager to see you again ! And no , it was n't a self-made torture . First of all I recommend you to go on the 8 a.m. boat . I went on a boat trip with my class last month and it was very exciting and acknowledgeable . I advise you to try watersports as well , it 's a real laugh . The biggest difference the absence of TV had made in my life was that I actually started living . So if I lived without television for a week I 'd find something else to keep me busy : invite some friends around , read a good interesting book , go bowling or to a swimming pool . How is your sister , Marine ? "" Could you live without television for a week ? "" This summer I lived three weeks in a complete TV vacuum , I forgot it had ever existed . It might mean waking up early but it will be less crowded and more comfortable on the trip . I was very happy to receive your letter . I think everyone can say "" no "" to TV because humans ' will is far more stronger than the invisible hands that lure us into their cave . By the way , I 'd love to come with you , if it 's possible ! And it 'll be good for you as well , after a week without TV you 'll begin to appritiate it and your life a lot more . And the radio ( if you 're too lazy to read the news yourself and prefer them to be read to you ! ) I think you should take packed lunch with you , because the restaurant is far too expensive and the portions are too small ( you 'll get very tired walking around the castle ) . Love I was just having a good time and I did n't need television to support me and keep me company in the dark summer evenings . But can each one of these people answer one simple question ! When do we turn on our TV set ? I have n't heard from you for a long time , how are you ? You might ask me a normal question "" What about news ? "" We were also very lucky with the weather , it was warm and sunny so we could admire the picturesque views all day long . I just did n't have time for it , did n't allow it to enter my life . I 'm not sure how many students are there in your class but they give reductions for groups over 15 people so maybe you 'll have to invite some friends to join you . Well , I 'm also bothered about what 's going on around me but why did you forget about newspapers ? Well , maybe only yet . When we are bored and lonely or on the contrary when we are tired of doing something we dislike . I can honestly say : I could . Some say it 's evil , it spoils our eyes and personality , others say it 's useful , enriches our minds with knowledge and helps teens form their individuality .","[0.4836098849773407, 0.5163900852203369]"
random order trigrams,ilexir,"Marriott Dear Belinda Ms. , West name a member I Akihiro at Isle My 'm an is and club College English of . teacher 'm invite the our have which to you in organizing told I me area letter event to as people , you this improve to that writing their who want for live our come English I to 'm . , and Our 14 a not very English big club one teacher a with students is . of between and the 28 there , the 22 some old elder old students are but , are years 18 is eldest Most years . all We to learn English love . like to a the speech At I us 'd , you event give . whatever You you can like about tell us . your , latest work be about a speech very For example nice would . planning 15 22 8 event Please p.m. day is 'm you I for good February the on me , or to tell which 7 from . our to Japanese restaurant dinner event a you the After , I a like at college 'd near offer . you looking forward I to hearing from 'm . Sincerely yours , I birthdays really I both never had others until of birthday special , day twenty-fourth on my my , and had that taken own serious . teachers which busiest I in Japan in was May month the school for is , born . Unfortunately both teachers , are of parents my . did busy I always either remember my n't too my In and were my remember childhood birthday they , birthday to . was joined who with are of and NGO I , 23 stared Europe other , I Denmark members in a most When living from . , something they me was my were that it preparing that reminded On day for me noticed and I that that birthday. and n't expect had party did I never much had before a I birthday . was my party far beyound expectation The . 20 people from different me countries celebrated for five . I never felt had happier . I still two will ago I forget one but , forget often never my years birthday had that I special .","[0.4841977059841156, 0.515802264213562]"
